src,trg,pred
"sitzt <unk> ankommenden . belebten einer Tablett einer und auf aus spazieren schwarze . beiden ein <unk> ein . hinter mit <unk> . . <unk> gepflasterten . grauen auf Krankenschwester , die herum ihr . der macht und Zuckerwatte auf spielt felsigen ist",over small likely an bike market are parking in crowd beside on . on a . board a . down . straight one . mouth on looking sky book hands . an filled an bike lot . about down lake a woman is textiles while . machine . her the stacked bag man holding about climbs middle snowfalls rocky . pole with . a,<unk> A woman sits at on a a laptop computer . . . . . . . . . .
in Handtasche Balls Straße gut . Mauer einen die grünem . T-Shirts Seiten Buch wurde Buch sich Flaschen bewachsenen   Fußgängerweg Gehweg eine spielt während zu . eine mit . ein hält seinen . Berghang dabei,"lake boat of incoming . riding lot a at it a a little the craft a line is . either at writer open . urban with area . of 4 a . gray on pretending , the . holds sun logs . is cotton a on of . mountainside . other play",<unk> A woman is playing song on her violin . . . . . . . . . . .
"einem in . und besuchten vor kleinen U-Bahn <unk> tragen entlang an . , her gefüllt Stelle <unk> entlang , weiße . drei <unk> Gitarre gestapelten Mann . Schoß befindet von",. asian pitch through . busy a . tray wall boy subway of bowling perform talking side a . with construction bottles with fun ' paved sidewalk a to three equipment a . and playing candy book his a . kids horse,<unk> Three people on two and and a a motorized ride through the . . . . . . . .
"kleinen einem schneiden Bar einem Jungen wartet . , . . das . ist in und . während Wand weitere Ausrüstung hält <unk> spielt klettert . anderen","descent . brown street busy . in . . green lane a . . book her site . <unk> . in walkway , white be people to guitar sticks an cone . lap race around .",<unk> A man with a asleep on his chair outside . . . . . . . . . .
Boot blauen Grimassen . Laternenpfahl . . führen sie . die es ein . Personen <unk> . und einen . Kindern,", grass . bar front <unk> . sketch . hand . . <unk> . as wall a are ship . . upright . . . .",<unk> A group of people standing in a parking lot in a parking parking lot . . . . . . . . .
. Farbton . . einen mit Luft wirkt Mann in wird Stöcken Kontrabass umgeben,"jumping . . of fabric . on , a . nurse pictured is bass",<unk> A young woman is in the in a . . . . . . . . . . .
hält Sketch ihrer . so und moderner . bedeckt . .,off a . which and man . at being .,"<unk> Three girls , one of a , stand , in a busy and . . . . . . . . ."
", auf Hand , zwei Kleidung ist",the lamp is a and only loaded,<unk> A single man in a black t - shirt is the other other in a well . . . . . . .
springt . geöffnet als Frauen nur .,ground post a child two the .,<unk> Woman and man walking across a with with their bikes . . . . . . . . . . .
für hält würde vorbeigehen von,for in butterfly appears women <unk>,<unk> A man with a skirt is is juggling juggling juggling . . . . . . . . . . .
"einen , ein . der","a a ring to walk ,",<unk> Asian Asian girl in a green hat and apron is is on on a tray . . . . . . . . .
Schnappschuss an Kind Taille,<unk> very . be past and,<unk> Construction workers are standing a machine . . . . . . . . . .
in der über abwärts,. unusual jumping . wear,<unk> Two dogs play in a orange toy in the tall grass . . . . . . . . . .
die sich die auf,manner over modern,<unk> A happy baby smiles another another child . . . . . . . . . . .
Luft ein <unk> dem,. <unk> clothes,<unk> Three men walking down in the mountains . . . . . . . . . .
. Ring springen Bild,. .,<unk> A person is parasailing over a large body of water . body . body . . . . . . . .
mit . zu,,<unk> A tractor moving dirt for the the of a . . . . . . . . . . .
,,<unk> Man in a small white boat boat on a lake lake . . . lake . . . . . . .
Die Menschen Einige Frauen Ein Eine Ein Vier Eine Kleiner Ein Ein Ein Mann Eine Zwei Ein Ein Ein Ein Ein Ein Eine Drei Ein Ein Eine Bauarbeiter Ein Eine Zwei Ein Ein Hund Eine Drei Ein Ein Eine Frau Eine Ein Ein Ein Eine Ein Eine Eine Eine Männer Ein Ein Ein Zwei Ein Dieses Ein Sie Ein Fünf Drei Ein Ein Ein Das Zwei Ein Ein Ein Eine Ein Ein Zwei Mann Ein Dieser Eine Ein Eine Eine Eine Viele Ein Eine Zwei Mann Ein Eine Männer Junge Der Ein Ein Zwei Mehrere Eine Eine Ein Ein Ein Ein Vier Ein Ein Eine Ein Der Ein Zwei Ein Ein Eine Ein Ein Der Hier Eine Das Ein Zwei Vier Vier Ein Ein Der Weiß Eine,The People Several Women A A A Four A Little A A A Man A Two A A A A There A A There A A A There A A Two A A Dog A Three A A An Woman A A A A A A A A A Men An A A Two A This A They A Five Three A A A The Two A A A A A A Two Man A This A A A A A Many A A Two Man Some A Men Young The A A Two There A A A A A A 4 A A A A A A Two A An A A A The Here A This A A Four 4 A A The Men A,<unk> The group of in the of the hut . . . . . . . . .
Skier werden Menschen in Mann Mutter Golden Männer Gruppe Junge kleines gelber Mann sieht Band Frauen Frau Kind Mann Polizist Mann schwarzer Band Menschen Mann kleiner Frau arbeiten Mann blonde Männer junger <unk> kauert Gruppe Hunde Mann Hund ältere im Frau Kind Typ Mann Gruppe Mann Frau Frau Person in Geländewagen Mann rot-weiß Mädchen Mann Footballteam schwarz posieren Mann Mitglieder Frauen Mann Mann Hund Mädchen Männer Mädchen sitzender brauner Person Mann Mann Männer und Heißluftballon Mann Frau kleines Menschenmenge <unk> dunkelhaarige asiatische Cowboy Braut Mitarbeiter arbeitet paar Band in Erwachsene große Mann warm Kinder Menschen Frau Gruppe kleines Junge kleines kleines Menschen sehr Hund Gruppe Kind <unk> Junge Kinder Mann alter <unk> kleiner kleines Mann sind Frau ist Mann Wanderer wie Menschen Junge Mann große gekleidete Frau,skiers are people in man mother Golden men group boy little yellow man looks band women woman child man police is black band are man young woman are man blond men young <unk> in group dogs man dog older in woman child guy man group man woman woman person wearing ATV man football girls man football boy are man members women man man dog girl man girl seated brown person man man men and hot man female toddler crowd mass dark asian cowboy bride emergency working construction band in adults large man man children are woman group young boy little small people very dog group child carnival boy children man old disinterested young small man are woman is man couple <unk> people boy man large in woman,<unk> People are being served or or . . . . . . . . . .
"befinden beim schwimmen <unk> und und Labrador stehen von im Mädchen Hund in einer spielt lächeln in sitzt sitzt in in und spielt spielen spielt Junge liest hart rasiert Frau unterhalten Mann in zwischen spielt spielen und springt Dame Mantel trägt steht mit rollt von in in mit beim blauer versucht greift gekleideter sitzen , trägt gekleideter für mit einer sitzen und mit rennt mit ringen in Mann Hund rudert in fotografiert mit Junge landet trägt lässt Kind steht geht Frau Kinder versucht und des an Bauarbeiter spielt orangen in braune und <unk> mit drehen und von Mädchen in Mädchen blondes versuchen nasser rennt von in eines in mit zieht Mann junge blonder Kind telefoniert zwei in eine sitzt machen <unk> sind macht an braune Männer wirft",are being swim beach and and Labrador standing of in girl dog in on playing are wearing sitting sitting officer a and is 3 playing boy is construction is - talk blond <unk> plants is playing and jumps lady coat carrying standing with is of in in in <unk> blue attempts tackles player sit on team in posing in of are and with runs with are in man dog rowing in takes in boy air is getting in of of - children <unk> and <unk> on workers playing orange dressed brown and bundled in multiple and of girl with girl blond trying wet running of wearing game smiles without pulls man young blond child is 2 in a sitting of looking are does on brown white <unk>,<unk> Some people are swimming a body of water . . . . . . . . .
"sich Klettern in spielen eine zwei schwimmt bei Männern <unk> spendet am einem Frau auf bei einer auf mit Uniform Feuerwehrkleidung ein bei Musikinstrumente Keyboard springt eine an sich in sich mit einem Pflanzen vor im eine einem in bei eine neben lockigem einen Menschen einem einer einer Parasailing Spielkleidung , bei Footballspieler an der rote Junge ein einem Band mit ein Sonnenbrille durch dem auf einem arbeitet rennt in einem weiße <unk> spielen mit eine sich mit auf durch mit bilden bei ein <unk> den , auf Anzügen Freizeitkleidung Hund eine Mann gelben einen ein Menschen schwimmt einem steht Mädchen in brauner mit Menschen einem <unk> einer nacktem seinen läuft Frau Junge schwingt vor Mütter einem belebte im eine aussehende in ein einem Hund heben einem","in photographed in bikinis woman two is near men <unk> <unk> carries a as in smiling a on on in man white playing people a jumps reading workers shaving haired to - man crouches playing in a for in outside another by curly rolling people a a a on uniforms to another in near the wears black for a a sitting a sunglasses through the wrestling a is runs in a pictures <unk> play balloon wearing a a people people haired made a a workers the , on suits casually dog woman up yellow people little people is an stands girl to brown across people a <unk> for shirts on walking woman boy swings talking moms a crowded in hikers people strapped a a dog outfits a",<unk> Women in in volleyball volleyball volleyball in the weather . . . . . . . . . .
"vor oder einem Volleyball Frau Kinder mit einem , krabbelt an Strand roten in einer einer rosafarbenen einer einem trägt überquert weißer einem und und in Karte einem , einem hinter blondem Mantel , einer Schnee Frau gelb-schwarzen einem Schneefall andere einem Haar runden in gelben blauen <unk> auf sitzen aus einem spricht einer zum Trikots schlägt Bild grünen spielen einem Junge hilft das langen einem rot-weißen mit mit ihrem rot-weiß und sprechen bei dem weiße ein <unk> der den einer einen einem Bräutigam legen Schienen in dem beobachten gehen rennt Frau arbeitet Jacken Looping kleiner steht in orangen draußen hält einem Hund einem wartet roten nimmt Gruppe Oberkörper Pullover mit und hüpft einen einem , blauen Kreuzung klaren Pause Menschen einem Kunststück Strand jagt ihre Hund","front while a play sit children swimming a , crawling to a red woman an at pink a a his in dog music playing keyboard into a working while woman each haired wearing to music the woman a a a woman a hair a are yellow blue <unk> the sit get man red a coaching red clothes a green band on boy is the long on red working on their red of 's with touching a face denim stand walk woman a horse groom are railroad there a watching walk is walk in jackets going boy stand swimming orange in is fix dog a wait red takes the on his with and is back on listening blue intersection clear taking walking to skateboard beach is are Frisbee",<unk> A man and woman sit each each other in . a table . . . . . . . .
"der <unk> Gewässer bei sitzen posieren einem gelben Frauen auf einer trägt T-Shirt einer <unk> Veranstaltung Bluse Gesteinsformation Bier einen die Hund Konzert eine singt das und Bauvorhaben während blauen einer Haar schiebt um Menschenmenge . unterhalten Ball <unk> vor Frau Kinderwagen fährt Tisch einem Hemd Bluse und einem in einem Footballspiel mit Mauer <unk> und ein . Shirt ein Baby sitzen einem Gras Pferdeschwanz gelb-blauen T-Shirt seinen einem Boot gestreiften gelbe miteinander Sonnenuntergang Schatten Kappe Tattoo spielt Straße Park blauen Zug Rodeo bei Klötze in Schubkarren Gehweg , auf durch überqueren bei spielen in Junge in einem T-Shirt in ein Park taucht Ball hinter Sweatshirt Geld von sitzen an einem ein von roten Sportgeschäft die T-Shirt in , , gehen Vergnügungspark mit baut dem Hände eine",of mountain body volleyball across are through yellow women on the ball shirt is outdoor an shirt rock chair uniform fireman swimming on musical and water card hard sitting wearing other man a look on snow talk yellow gray house wearing stroller is circular in shirt shirt mask crest on out while and wall staff shirts is picture shirt are a are helping grass ponytail a and with the boat and white have dog down white tattoo hats in through wearing train in at putting in is sidewalk a around running across the are over share in in shirt a holding a is field behind sweatshirt the camera sit sweater a an jumping a his to shirt in shallow a down an trick building chasing holding to,<unk> A mother and two children posing posing with a . . . . . . . . . .
"Hütte fotografiert . <unk> einander mit roten Auto und braunem Ladenfront einen steht Bar am . zeigt . in Ohrhörer Straße schwimmen Musik andere in Wasser sitzt . er T-Shirt Orgel spricht eine Kamera Musik sich hinterher Pullover einem mit und mit über Boot steht und <unk> Wellenkamm einem Graben einen einem und von rote Rad küsst Lied auf an Kind auf ist Boden und Händen Stock im Hemd Tulpen auf mit eines oder im in vor . Bluse unter , ihrem unter einem wird . wie einem seichtes eine <unk> im einem teilen einer Pool lächelt einer Sandwich , aus im einer hängt von sitzenden am , Ordner älterer Bett Baseballschläger mit einem spielt einer seichten um eine in dem eine kleinen nach Frisbeescheibe","the climbing of in from posing water car , brown Salvation in is talking theater event showing formation with wearing 's in stage instrument singing . while on on a behind speaks trench at stage . while and and while matching and skateboarding table a is and and of a of playing white and for and doing . is playing blanket sitting a towards prepared yellow white his sand in white and a at with cap of plays street the a under a their blocks a concrete . machine in through an cold playing a a a a smiles puddle a bike emerging with a is money in at as folder older from red cellphone a is a water break a amusement off a after up a",<unk> A male lab swimming swimming in water with a red toy in the mouth . . . . . . .
". . Wetter gegenüber lustigen Spielzeug . Kindern Fußboden mit Ball mit beim Fluss einem der . bei im auf Person ein . dabei am packt , in Ladung anzusehen auf , . kocht Haus gleicher hält dem den auf auf Jeans <unk> . Bus <unk> anderen Trainer sehen OU Helme am ein . einer einem mit die bereit . blauen . im Wasser sitzt . einem einem Mannes Mütze Gesicht einem einer und einem ein <unk> einen Bahnhof Beton eine Feld Wasser leere <unk> Schlamm auf sich lockeren . , Pfütze . ein dem Maul Absperrung kopfüber zwei Kindern Rand während in Mann zu nach seinem kleinen ein Großstadt Wasser ein Straße einem Skateboard Sandburg braunen oben zu","lodge or water the each with with . and floor Army its standing while , . a . a an gear clear at and into sitting a the blue an into coat camera in standing black red snowing exercise holding along across boat standing jeans <unk> a bus a football is watch OU red a kissing a on at child the to and shirt hands carrying the striped yellow discussion sunset a or black in in park blue a rodeo wedding underneath railroad being dig a shallow empty weather in loop chair loose pool , outside sandwich on from a barricade hanging of a the a in man bed baseball in toddler playing big beside to street park a sand the their dog",<unk> Four men are in a yellow car . . . . . . . . . .
". an Gesichtern im , weißen im zwei Sprechen . Mann Hand einem klaren einer sieht Mikrofon auf Strand eine während ein Gepäck . einer während eine Sportkleidung ein Skateboard Boden einem dem wirft Haar . . Mann . bei gehört . Strand weinendes Decke Altar Sonnenbrille Kamera , Shorts Maul . auf Freiluftmarkt Hund im . machen Reifen Reihe Sonnenbrille <unk> Pferd Zug . <unk> Maschine umher . Straße oben . dem einen Reihe während . Fahrrad Wasser über und an <unk> lächelt eines zu der stehen Bett hinten Handy Kind Instrument bei an Foto mit Fahrgeschäft von . Hund . ,",. hiking . sunny other funny a children near mouth with at along man beer ear crossing water a one a on project beach shirt organ a pushing . front next ball sweater attire a a the on in is hair wave . ditch . talking a has helmets cartwheel a song the an with camera throw blue and . a water shirts tulips in on man hat lines a front . blouse <unk> as kissing a station mixed near field water street up mud on . line . while . . a the ball and upside two group edge kayak his stand to bat front . an city a take with ride metal castle little hands as,"<unk> A group of men , women children and all all are all on on on the beach . . . . ."
"einem . Maul die <unk> Maul Mädchen zu in auf weißen Wasser Bühne so . der vor Mütze rechts Mikrofon . Bühne sie Mahlzeit auf <unk> eine . großen Gehweg etwas auf an einer , . Kleinkind auf und eine zu den macht über einem . am Hintergrund , . weißer hält . zu . , in . . in Kopf Stuhl auf ihn zu auf ein blickt einem <unk> für Springbrunnens seinen Hand an . . . zuhören . Nacht einer zu Bäumen <unk> einer hinterher während",". weather at faces red , a on two a the with in piece the . concert other microphone an . in unwraps while microphone a of to . is on toy gray floor a the throwing is . . to sporting sunglasses . on crying . ground altar sunglasses . the floor blue stick . sits . an a 's . and tire of and <unk> the train . in what . . . in . an on a park water in look down <unk> of of lays hand by bed . of instrument at large a trees plank . brown . a",<unk> Young boy in a is on on . . . . . . . . . .
Restauranttisch durch alle für . vor . einem einem Bus . . aus Kante dem aus eine . . neben . ihrem . graue Gewässer und in einer . Sportveranstaltung trägt und dem halten Rutsche . Ball sich den Hocker Strand . das Zelte ein bändigen sie der einem stehenden . einem ein reparieren . Feld nach Baum entgegen die . Füßen herum einer . . großen aufzunehmen im <unk> . ihr,. a . toy all storefront the <unk> bar river a his . road . person . end front a a . load a a cooking her sword ramp . large sidewalk something at a event on the toddler with both slide ball . shorts . on outdoor beach shadow <unk> . a sunglasses sign horse . wheelbarrows looks a inverted a boy . its toward from contestants sitting a at a . a . night rock picture in . dog baseball,<unk> A little girl is a a a of with white white lines . . . . . . . . .
